candidate_id,rank,score,reasoning
CAND_0081846,1,0.9288,"Lead AI Engineer at Razorpay with 6.7 years experience: hands-on embeddings/retrieval work (Embeddings, Semantic Search), and production vector-search experience (faiss, hybrid retrieval). Strong match against the JD's core requirements."
CAND_0002025,2,0.9151,"Senior AI Engineer at Apple with 5.9 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), and production vector-search experience (hybrid retrieval). Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0068811,3,0.9143,"Applied ML Engineer at Freshworks with 8.0 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), and production vector-search experience (Pinecone). Strong match against the JD's core requirements."
CAND_0077337,4,0.9073,"Staff Machine Learning Engineer at Paytm with 7.0 years experience: hands-on embeddings/retrieval work (Semantic Search, embedding), and production vector-search experience (hybrid retrieval). Strong match against the JD's core requirements."
CAND_0046525,5,0.8922,"Senior Machine Learning Engineer at Genpact AI with 6.1 years experience: hands-on embeddings/retrieval work (embedding, bge), and production vector-search experience (faiss, hybrid retrieval). Strong match against the JD's core requirements."
CAND_0011687,6,0.8906,"Senior NLP Engineer at Niramai with 7.8 years experience: hands-on embeddings/retrieval work (embedding, bge), and production vector-search experience (pinecone, hybrid retrieval). Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0054394,7,0.8889,"Recommendation Systems Engineer at PharmEasy with 4.1 years experience: hands-on embeddings/retrieval work (sentence-transformer, bge), and production vector-search experience (elasticsearch, faiss). Only concern: 4.1 years of experience is outside the JD's stated 5-9y band."
CAND_0064326,8,0.8849,"Search Engineer at Sarvam AI with 7.6 years experience: hands-on embeddings/retrieval work (embedding), and production vector-search experience (pinecone). Strong match against the JD's core requirements."
CAND_0099806,9,0.8814,"AI Engineer at Mad Street Den with 4.6 years experience: hands-on embeddings/retrieval work (embedding), and real evaluation-framework experience (A/B testing / offline-online correlation). Only concern: 4.6 years of experience is outside the JD's stated 5-9y band."
CAND_0051004,10,0.8782,"Senior Data Scientist at CRED with 4.7 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), and production vector-search experience (pinecone). Only concern: 4.7 years of experience is outside the JD's stated 5-9y band."
CAND_0093912,11,0.876,"Senior Data Scientist at Razorpay with 5.3 years experience: hands-on embeddings/retrieval work (sentence-transformer, bge), and production vector-search experience (Elasticsearch, faiss). Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0055905,12,0.8747,"Senior Machine Learning Engineer at Flipkart with 8.1 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), and production vector-search experience (faiss, hybrid retrieval). Only concern: location concern: outside India (no visa sponsorship)."
CAND_0041610,13,0.8694,"Recommendation Systems Engineer at Zoho with 6.7 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), and production vector-search experience (pinecone). Strong match against the JD's core requirements."
CAND_0042506,14,0.8622,"Search Engineer at Verloop.io with 4.2 years experience: hands-on embeddings/retrieval work (Semantic Search, embedding), and production vector-search experience (FAISS, pinecone). Only concern: 4.2 years of experience is outside the JD's stated 5-9y band."
CAND_0040887,15,0.8576,"Machine Learning Engineer at Netflix with 4.7 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), and production vector-search experience (FAISS, pinecone). Only concern: location concern: outside India (no visa sponsorship)."
CAND_0044222,16,0.8572,"AI Engineer at PolicyBazaar with 7.7 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), and production vector-search experience (elasticsearch, faiss). Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0036184,17,0.8436,"Recommendation Systems Engineer at CRED with 6.0 years experience: hands-on embeddings/retrieval work (Semantic Search, sentence-transformer), and production vector-search experience (FAISS, elasticsearch). Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0014440,18,0.8372,"Recommendation Systems Engineer at CRED with 6.4 years experience: hands-on embeddings/retrieval work (embedding), and real evaluation-framework experience (A/B testing / offline-online correlation). Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0072660,19,0.8357,"Machine Learning Engineer at Unacademy with 7.1 years experience: hands-on embeddings/retrieval work (sentence-transformer, semantic search), and production vector-search experience (FAISS). Only concern: location concern: outside India (no visa sponsorship)."
CAND_0005509,20,0.8241,"Data Scientist at Ola with 6.0 years experience: has shipped a production ranking/recommendation/search system, and 5.8 years in applied ML/AI at product companies. Only concern: limited direct evidence of embeddings/vector-search production experience."
CAND_0075574,21,0.822,"Machine Learning Engineer at Haptik with 5.7 years experience: hands-on embeddings/retrieval work (embedding), and production vector-search experience (pinecone). Strong match against the JD's core requirements."
CAND_0053591,22,0.818,"AI Engineer at Ola with 5.3 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), and production vector-search experience (pinecone, faiss). Only concern: location concern: outside India (no visa sponsorship)."
CAND_0076163,23,0.8087,"NLP Engineer at Ola with 6.9 years experience: real evaluation-framework experience (A/B testing / offline-online correlation), and has shipped a production ranking/recommendation/search system. Only concern: location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0027691,24,0.801,"NLP Engineer at Haptik with 6.5 years experience: hands-on embeddings/retrieval work (Semantic Search, sentence-transformer), and production vector-search experience (elasticsearch, faiss). Only concern: last active 92 days ago."
CAND_0015967,25,0.7985,"Senior Software Engineer (ML) at Razorpay with 5.4 years experience: has shipped a production ranking/recommendation/search system, and 4.8 years in applied ML/AI at product companies. Only concern: limited direct evidence of embeddings/vector-search production experience."
CAND_0000031,26,0.7983,"Recommendation Systems Engineer at Swiggy with 6.0 years experience: hands-on embeddings/retrieval work (embedding), but trajectory shows 4 jobs averaging 18 months each -- title-hopping risk."
CAND_0011327,27,0.7975,"AI Research Engineer at Krutrim with 6.3 years experience: has shipped a production ranking/recommendation/search system, but limited direct evidence of embeddings/vector-search production experience."
CAND_0010770,28,0.7906,"Recommendation Systems Engineer at Aganitha with 15.2 years experience: hands-on embeddings/retrieval work (sentence-transformer, bge), but 15.2 years of experience is outside the JD's stated 5-9y band."
CAND_0043860,29,0.7829,"Junior ML Engineer at Aganitha with 6.1 years experience: has shipped a production ranking/recommendation/search system, but limited direct evidence of embeddings/vector-search production experience."
CAND_0065195,30,0.7824,"Search Engineer at CRED with 5.1 years experience: hands-on embeddings/retrieval work (embedding), but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0004402,31,0.7795,"AI Research Engineer at Yellow.ai with 6.0 years experience: has shipped a production ranking/recommendation/search system, but limited direct evidence of embeddings/vector-search production experience."
CAND_0083879,32,0.7782,"Machine Learning Engineer at Ola with 7.1 years experience: hands-on embeddings/retrieval work (sentence-transformer, semantic search), but last active 75 days ago."
CAND_0095528,33,0.777,"Senior Data Scientist at Netflix with 5.3 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0077285,34,0.7763,"Recommendation Systems Engineer at Nykaa with 5.5 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0062247,35,0.7762,"AI Engineer at Google with 7.3 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), but last active 69 days ago."
CAND_0037000,36,0.7757,"Search Engineer at Unacademy with 2.7 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), but not flagged open to work."
CAND_0074024,37,0.775,"AI Specialist at Haptik with 3.9 years experience: has shipped a production ranking/recommendation/search system, but limited direct evidence of embeddings/vector-search production experience."
CAND_0072688,38,0.7738,"Data Scientist at Niramai with 6.9 years experience: has shipped a production ranking/recommendation/search system, but limited direct evidence of embeddings/vector-search production experience."
CAND_0030468,39,0.7676,"Senior Applied Scientist at Swiggy with 5.4 years experience: real evaluation-framework experience (A/B testing / offline-online correlation), but limited direct evidence of embeddings/vector-search production experience."
CAND_0050454,40,0.7648,"AI Engineer at Rephrase.ai with 6.8 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), but last active 65 days ago."
CAND_0010685,41,0.7647,"NLP Engineer at Rephrase.ai with 6.7 years experience: hands-on embeddings/retrieval work (sentence-transformer, bge), but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0037944,42,0.7632,"Senior Data Scientist at Vedantu with 4.9 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0041669,43,0.762,"Recommendation Systems Engineer at CRED with 8.0 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), but last active 86 days ago."
CAND_0064256,44,0.7614,"Junior ML Engineer at BYJU'S with 6.4 years experience: has shipped a production ranking/recommendation/search system, but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0081852,45,0.7592,"Senior Data Scientist at Mad Street Den with 5.9 years experience: hands-on embeddings/retrieval work (embedding). No major red flags, but not a standout match either."
CAND_0022023,46,0.7571,"AI Research Engineer at Saarthi.ai with 4.6 years experience: has shipped a production ranking/recommendation/search system, but limited direct evidence of embeddings/vector-search production experience."
CAND_0051292,47,0.7561,"Applied ML Engineer at Freshworks with 5.2 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0078492,48,0.7559,"Recommendation Systems Engineer at Verloop.io with 5.1 years experience: hands-on embeddings/retrieval work (sentence-transformer, semantic search), but last active 91 days ago."
CAND_0065786,49,0.7503,"AI Specialist at Swiggy with 4.9 years experience: has shipped a production ranking/recommendation/search system, but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0070525,50,0.7452,"Senior Software Engineer (ML) at Mad Street Den with 5.4 years experience: has shipped a production ranking/recommendation/search system, but limited direct evidence of embeddings/vector-search production experience."
CAND_0053695,51,0.7443,"Recommendation Systems Engineer at Meesho with 5.8 years experience: hands-on embeddings/retrieval work (sentence-transformer, bge), but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0017960,52,0.7413,"Recommendation Systems Engineer at Nykaa with 7.7 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), but last active 65 days ago."
CAND_0071974,53,0.7413,"Senior AI Engineer at Netflix with 7.8 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0037566,54,0.7411,"Machine Learning Engineer at LinkedIn with 6.9 years experience: hands-on embeddings/retrieval work (embedding), but last active 72 days ago."
CAND_0046064,55,0.7379,"Senior NLP Engineer at Salesforce with 8.9 years experience: hands-on embeddings/retrieval work (embedding, bge), but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0030348,56,0.7377,"Machine Learning Engineer at BYJU'S with 4.5 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), but last active 93 days ago."
CAND_0065878,57,0.7373,"Senior Data Scientist at Niramai with 7.8 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0061655,58,0.7372,"Machine Learning Engineer at Krutrim with 4.6 years experience: hands-on embeddings/retrieval work (embedding, sentence-transformer), but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0052682,59,0.7314,"NLP Engineer at Aganitha with 6.6 years experience: hands-on embeddings/retrieval work (Embeddings, embedding), but location concern: in India but not near preferred cities and not flagged as willing to relocate."
CAND_0082086,60,0.7312,"Senior Software Engineer (ML) at Razorpay with 6.0 years experience: has shipped a production ranking/recommendation/search system, but limited direct evidence of embeddings/vector-search production experience."
CAND_0083637,61,0.731,"ML Engineer at Unacademy with 3.4 years experience. Limited direct evidence of embeddings/vector-search production experience, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0008295,62,0.7307,"AI Research Engineer at Razorpay with 6.5 years experience. Limited direct evidence of embeddings/vector-search production experience, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0079387,63,0.7307,"AI Engineer at Microsoft with 6.9 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though hands-on embeddings/retrieval work (embedding, sentence-transformer) keeps this above the cutoff for the final 100."
CAND_0033445,64,0.7304,"ML Engineer at Vedantu with 6.8 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though 6.7 years in applied ML/AI at product companies keeps this above the cutoff for the final 100."
CAND_0054123,65,0.7303,"Applied ML Engineer at Meta with 4.7 years experience. Not flagged open to work, though hands-on embeddings/retrieval work (Semantic Search, embedding) keeps this above the cutoff for the final 100."
CAND_0040117,66,0.7298,"Recommendation Systems Engineer at PhonePe with 6.5 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though hands-on embeddings/retrieval work (Embeddings, embedding) keeps this above the cutoff for the final 100."
CAND_0076831,67,0.7294,"Search Engineer at Krutrim with 4.0 years experience. Long notice period (90 days), though hands-on embeddings/retrieval work (sentence-transformer, semantic search) keeps this above the cutoff for the final 100."
CAND_0011432,68,0.7287,"Senior Data Scientist at Amazon with 7.6 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though hands-on embeddings/retrieval work (embedding) keeps this above the cutoff for the final 100."
CAND_0043450,69,0.727,"AI Research Engineer at Krutrim with 3.3 years experience. Limited direct evidence of embeddings/vector-search production experience, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0031842,70,0.7263,"AI Specialist at Ola with 3.5 years experience. Limited direct evidence of embeddings/vector-search production experience, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0074225,71,0.7254,"Machine Learning Engineer at Unacademy with 4.3 years experience. Long notice period (120 days), though hands-on embeddings/retrieval work (embedding) keeps this above the cutoff for the final 100."
CAND_0049896,72,0.7253,"Search Engineer at Unacademy with 7.3 years experience. Long notice period (90 days), though hands-on embeddings/retrieval work (embedding, sentence-transformer) keeps this above the cutoff for the final 100."
CAND_0061257,73,0.7238,"Staff Machine Learning Engineer at LinkedIn with 8.0 years experience. Last active 76 days ago, though real evaluation-framework experience (A/B testing / offline-online correlation) keeps this above the cutoff for the final 100."
CAND_0075491,74,0.7237,"AI Research Engineer at InMobi with 6.0 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0018549,75,0.723,"Recommendation Systems Engineer at Uber with 6.8 years experience. Last active 64 days ago, though hands-on embeddings/retrieval work (embedding, sentence-transformer) keeps this above the cutoff for the final 100."
CAND_0091909,76,0.7226,"Machine Learning Engineer at Rephrase.ai with 6.9 years experience. Last active 105 days ago, though hands-on embeddings/retrieval work (embedding, sentence-transformer) keeps this above the cutoff for the final 100."
CAND_0094292,77,0.7226,"AI Specialist at Vedantu with 6.5 years experience. Limited direct evidence of embeddings/vector-search production experience, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0098846,78,0.7201,"AI Engineer at upGrad with 7.6 years experience. Last active 69 days ago, though hands-on embeddings/retrieval work (embedding) keeps this above the cutoff for the final 100."
CAND_0091534,79,0.7187,"AI Engineer at Flipkart with 16.6 years experience. Not flagged open to work, though hands-on embeddings/retrieval work (embedding, sentence-transformer) keeps this above the cutoff for the final 100."
CAND_0019480,80,0.7181,"NLP Engineer at Meesho with 2.8 years experience. Long notice period (90 days), though hands-on embeddings/retrieval work (embedding) keeps this above the cutoff for the final 100."
CAND_0049540,81,0.7177,"ML Engineer at Saarthi.ai with 6.8 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0084819,82,0.7175,"Search Engineer at Dream11 with 4.5 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though hands-on embeddings/retrieval work (embedding) keeps this above the cutoff for the final 100."
CAND_0048558,83,0.7153,"Data Scientist at Rephrase.ai with 6.7 years experience. Limited direct evidence of embeddings/vector-search production experience, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0052335,84,0.7147,"Applied ML Engineer at Aganitha with 6.4 years experience. Location concern: outside India (no visa sponsorship), though hands-on embeddings/retrieval work (Semantic Search, embedding) keeps this above the cutoff for the final 100."
CAND_0005260,85,0.7142,"Senior NLP Engineer at Netflix with 5.2 years experience. Not flagged open to work, though hands-on embeddings/retrieval work (Embeddings, embedding) keeps this above the cutoff for the final 100."
CAND_0068932,86,0.7133,"ML Engineer at Krutrim with 5.2 years experience. Limited direct evidence of embeddings/vector-search production experience, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0075439,87,0.7133,"Machine Learning Engineer at Flipkart with 4.3 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though hands-on embeddings/retrieval work (Embeddings, embedding) keeps this above the cutoff for the final 100."
CAND_0049538,88,0.7131,"Applied ML Engineer at Saarthi.ai with 5.8 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though hands-on embeddings/retrieval work (embedding) keeps this above the cutoff for the final 100."
CAND_0050876,89,0.7131,"Applied ML Engineer at Freshworks with 6.0 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though hands-on embeddings/retrieval work (embedding, sentence-transformer) keeps this above the cutoff for the final 100."
CAND_0096142,90,0.7128,"Applied ML Engineer at upGrad with 5.0 years experience. Long notice period (120 days), though hands-on embeddings/retrieval work (embedding, sentence-transformer) keeps this above the cutoff for the final 100."
CAND_0054318,91,0.7125,"AI Research Engineer at BYJU'S with 3.5 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0057701,92,0.7117,"Recommendation Systems Engineer at Verloop.io with 4.1 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though hands-on embeddings/retrieval work (sentence-transformer, semantic search) keeps this above the cutoff for the final 100."
CAND_0009024,93,0.7112,"Search Engineer at Google with 5.2 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though hands-on embeddings/retrieval work (embedding, sentence-transformer) keeps this above the cutoff for the final 100."
CAND_0053605,94,0.7111,"Senior Software Engineer (ML) at Verloop.io with 6.9 years experience. Limited direct evidence of embeddings/vector-search production experience, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0080534,95,0.7108,"ML Engineer at Genpact AI with 3.8 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0026942,96,0.7107,"Junior ML Engineer at Verloop.io with 6.0 years experience. Limited direct evidence of embeddings/vector-search production experience, though 4.5 years in applied ML/AI at product companies keeps this above the cutoff for the final 100."
CAND_0051936,97,0.71,"AI Research Engineer at Observe.AI with 3.9 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0073007,98,0.7087,"AI Specialist at Aganitha with 5.8 years experience. Location concern: in India but not near preferred cities and not flagged as willing to relocate, though has shipped a production ranking/recommendation/search system keeps this above the cutoff for the final 100."
CAND_0045475,99,0.7077,"ML Engineer at Genpact AI with 4.9 years experience. Limited direct evidence of embeddings/vector-search production experience, though 4.8 years in applied ML/AI at product companies keeps this above the cutoff for the final 100."
CAND_0013613,100,0.7075,"Machine Learning Engineer at Adobe with 4.7 years experience. Location concern: outside India (no visa sponsorship), though hands-on embeddings/retrieval work (embedding, sentence-transformer) keeps this above the cutoff for the final 100."
